TID,PID,x,y
9,65,315.473,481.719
9,66,319.4,480.41
9,67,329.872,476.482
9,68,341.654,476.482
9,69,352.126,473.864
9,70,362.598,477.791
9,71,374.379,475.173
9,72,380.924,477.791
9,73,392.705,479.101
9,74,404.487,475.173
9,75,414.959,475.173
9,76,425.431,477.791
9,77,431.976,475.173
9,78,442.448,475.173
9,79,452.92,472.555
9,80,462.083,475.173
9,81,473.864,473.864
9,82,481.719,471.246
9,83,490.882,471.246
9,84,497.427,472.555
9,85,506.59,471.246
9,86,507.899,473.864
9,87,505.281,467.319
9,88,493.5,466.01
9,89,481.719,466.01
9,90,467.319,464.701
9,91,456.847,466.01
9,92,451.611,472.555
9,93,441.139,472.555
9,94,426.74,473.864
9,95,420.195,471.246
9,96,408.414,468.628
9,97,400.559,472.555
9,98,390.087,472.555
9,99,380.924,473.864
9,100,373.07,476.482
9,101,367.834,479.101
9,102,361.289,476.482
9,103,356.053,475.173
9,104,349.508,475.173
9,105,342.963,475.173
9,107,329.872,475.173
10,1,661.054,595.603
10,2,646.655,591.676
10,3,634.874,590.367
10,4,621.783,590.367
10,5,613.929,585.131
10,6,602.148,581.204
10,7,586.44,577.277
10,8,578.586,579.895
10,9,562.878,581.204
10,10,558.951,586.44
10,11,558.951,587.749
10,12,562.878,590.367
10,13,560.26,600.839
10,14,565.496,610.002
10,15,565.496,610.002
10,16,568.114,599.53
10,17,568.114,591.676
10,18,575.968,581.204
10,19,591.676,575.968
10,20,606.075,575.968
10,21,617.856,578.586
10,22,627.02,585.131
10,23,644.037,587.749
10,24,657.127,589.058
10,25,664.981,590.367
10,26,680.689,589.058
10,27,688.543,590.367
10,28,701.634,590.367
10,29,716.033,589.058
10,30,727.814,587.749
10,31,738.286,587.749
10,32,755.303,589.058
10,33,769.702,589.058
10,34,785.411,590.367
10,35,793.265,591.676
10,36,807.664,595.603
10,37,818.136,595.603
10,38,833.844,590.367
10,39,841.698,587.749
10,40,841.698,579.895
10,41,837.771,570.732
10,42,823.372,560.26
10,43,808.973,560.26
10,44,795.883,564.187
10,45,785.411,565.496
10,46,774.939,566.805
10,47,759.23,573.35
10,48,750.067,579.895
10,49,736.977,583.822
10,50,725.196,583.822
10,51,710.797,587.749
10,52,704.252,585.131
10,53,689.852,581.204
10,54,674.144,578.586
10,55,659.745,574.659
10,56,646.655,570.732
10,57,636.183,565.496
10,58,623.092,557.642
10,59,607.384,558.951
10,60,592.985,557.642
10,62,574.659,556.333
11,13,852.171,348.199
11,14,849.553,341.654
11,15,841.698,339.036
11,16,832.535,333.8
11,17,824.681,327.254
11,18,818.136,325.945
11,19,810.282,319.4
11,20,807.664,312.855
11,21,798.501,311.546
11,22,793.265,303.692
11,23,789.338,303.692
11,24,782.793,298.456
11,25,774.939,295.838
11,26,774.939,293.22
11,27,765.775,291.911
11,28,757.921,286.675
11,29,756.612,281.439
11,30,760.539,274.894
11,31,767.084,268.349
11,32,772.321,259.186
11,33,772.321,247.404
11,34,774.939,242.168
11,35,784.102,227.769
11,36,797.192,217.297
11,37,794.574,206.825
11,38,807.664,200.28
11,39,814.209,185.881
11,40,822.063,175.408
11,41,833.844,170.172
11,42,837.771,161.009
11,43,853.48,154.464
11,44,863.952,155.773
11,45,877.042,158.391
11,46,886.205,162.318
11,47,903.222,164.936
11,48,915.003,168.863
11,49,926.785,166.245
11,50,934.639,167.554
11,51,945.111,166.245
11,52,949.038,171.481
11,53,949.038,167.554
11,54,949.038,162.318
11,55,945.111,153.155
11,56,937.257,147.919
11,57,928.094,137.447
11,58,913.694,136.138
11,59,904.531,136.138
11,60,887.514,133.52
11,61,879.66,134.829
11,62,866.57,133.52
11,63,852.171,129.593
11,64,848.244,133.52
11,65,837.771,130.902
11,66,829.917,128.284
11,67,816.827,126.975
11,68,811.591,125.666
11,69,799.81,126.975
11,70,788.029,121.739
11,71,774.939,121.739
11,72,767.084,121.739
11,75,756.612,123.048
12,1,794.574,411.032
12,2,789.338,403.177
12,3,784.102,395.323
12,4,780.175,387.469
12,5,774.939,382.233
12,6,771.011,374.379
12,7,774.939,367.834
12,8,772.321,363.907
12,9,768.393,359.98
12,10,764.466,356.053
12,11,760.539,348.199
12,12,761.848,344.272
12,13,760.539,341.654
12,14,755.303,339.036
12,15,755.303,328.563
12,16,751.376,323.327
12,17,752.685,311.546
12,18,753.994,310.237
12,19,763.157,303.692
12,20,772.321,301.074
12,21,774.939,289.293
12,22,778.866,276.203
12,23,789.338,265.731
12,24,791.956,261.804
12,25,805.046,263.113
12,26,816.827,261.804
12,27,827.299,261.804
12,28,840.389,260.495
12,29,854.789,259.186
12,30,869.188,253.949
12,31,877.042,243.477
12,32,883.587,233.005
12,33,895.368,229.078
12,34,903.222,221.224
12,35,918.931,205.516
12,36,929.403,208.134
12,37,941.184,202.898
12,38,958.201,202.898
12,39,967.364,202.898
12,40,973.909,205.516
12,41,976.527,204.207
12,42,976.527,200.28
12,43,971.291,193.735
12,44,962.128,197.662
12,45,939.875,196.353
12,46,929.403,192.426
12,47,921.549,193.735
12,48,899.295,185.881
12,49,890.132,183.262
12,50,884.896,176.717
12,51,869.188,172.79
12,52,857.407,172.79
12,53,845.626,171.481
12,54,835.153,168.863
12,55,819.445,166.245
12,56,802.428,167.554
12,57,788.029,168.863
12,58,776.248,166.245
12,59,763.157,162.318
12,60,743.522,162.318
12,63,738.286,161.009
13,71,615.238,683.307
13,72,615.238,692.47
13,73,621.783,697.706
13,74,630.947,706.87
13,75,634.874,710.797
13,76,642.728,714.724
13,77,655.818,718.651
13,78,667.599,725.196
13,79,675.453,727.814
13,80,684.616,735.668
13,81,692.47,743.522
13,82,701.634,753.994
